AmEng_SWB_6s_2_1_1_1(375).wav,3.75,2.53935
AmEng_SWB_6s_2_1_2_1(405).wav,4.05,2.58615
AmEng_SWB_6s_2_1_3_1(410).wav,4.1,2.58042
AmEng_SWB_6s_2_1_4_1(402).wav,4.02,2.58522
AmEng_SWB_6s_2_1_5_1(407).wav,4.07,2.59118
AmEng_SWB_6s_2_1_6_1(398).wav,3.98,2.57887
AmEng_SWB_6s_2_1_7_1(403).wav,4.03,2.58354
AmEng_SWB_6s_2_1_8_1(402).wav,4.02,2.5894
AmEng_SWB_6s_2_1_9_1(398).wav,3.98,2.58676
AmEng_SWB_6s_2_1_10_1(414).wav,4.14,2.58824
AmEng_SWB_6s_2_1_11_1(405).wav,4.05,2.586
AmEng_SWB_6s_2_1_12_1(403).wav,4.03,2.57973
AmEng_SWB_6s_2_1_13_1(413).wav,4.13,2.58933
AmEng_SWB_6s_2_1_14_1(397).wav,3.97,2.58177
AmEng_SWB_6s_2_1_15_1(394).wav,3.94,2.56409
AmEng_SWB_6s_2_1_16_1(396).wav,3.96,2.58452
AmEng_SWB_6s_2_1_17_1(401).wav,4.01,2.58454
AmEng_SWB_6s_2_1_18_1(398).wav,3.98,2.58548
AmEng_SWB_6s_2_1_19_1(397).wav,3.97,2.57311
AmEng_SWB_6s_2_1_20_1(403).wav,4.03,2.5658
